"","isFinal_t_0","MinutesSincePreviousCommit_t_0","NumberOfFilesAdded_t_0","NumberOfFilesAddedNet_t_0","NumberOfLinesAddedByAddedFiles_t_0","NumberOfLinesAddedByAddedFilesNet_t_0","NumberOfFilesDeleted_t_0","NumberOfFilesDeletedNet_t_0","NumberOfLinesDeletedByDeletedFiles_t_0","NumberOfLinesDeletedByDeletedFilesNet_t_0","NumberOfFilesModified_t_0","NumberOfFilesModifiedNet_t_0","NumberOfFilesRenamed_t_0","NumberOfFilesRenamedNet_t_0","NumberOfLinesAddedByModifiedFiles_t_0","NumberOfLinesAddedByModifiedFilesNet_t_0","NumberOfLinesDeletedByModifiedFiles_t_0","NumberOfLinesDeletedByModifiedFilesNet_t_0","NumberOfLinesAddedByRenamedFiles_t_0","NumberOfLinesAddedByRenamedFilesNet_t_0","NumberOfLinesDeletedByRenamedFiles_t_0","NumberOfLinesDeletedByRenamedFilesNet_t_0","Density_t_0","AffectedFilesRatioNet_t_0","isInitial_t_1","precByMerge_t_1","MinutesSincePreviousCommit_t_1","NumberOfFilesAdded_t_1","NumberOfFilesAddedNet_t_1","NumberOfLinesAddedByAddedFiles_t_1","NumberOfLinesAddedByAddedFilesNet_t_1","NumberOfFilesDeleted_t_1","NumberOfFilesDeletedNet_t_1","NumberOfLinesDeletedByDeletedFiles_t_1","NumberOfLinesDeletedByDeletedFilesNet_t_1","NumberOfFilesModified_t_1","NumberOfFilesModifiedNet_t_1","NumberOfFilesRenamed_t_1","NumberOfFilesRenamedNet_t_1","NumberOfLinesAddedByModifiedFiles_t_1","NumberOfLinesAddedByModifiedFilesNet_t_1","NumberOfLinesDeletedByModifiedFiles_t_1","NumberOfLinesDeletedByModifiedFilesNet_t_1","NumberOfLinesAddedByRenamedFiles_t_1","NumberOfLinesAddedByRenamedFilesNet_t_1","NumberOfLinesDeletedByRenamedFiles_t_1","NumberOfLinesDeletedByRenamedFilesNet_t_1","Density_t_1","AffectedFilesRatioNet_t_1","d_isFinal_t_0","d_MinutesSincePreviousCommit_t_0","d_NumberOfFilesAdded_t_0","d_NumberOfFilesAddedNet_t_0","d_NumberOfLinesAddedByAddedFiles_t_0","d_NumberOfLinesAddedByAddedFilesNet_t_0","d_NumberOfFilesDeleted_t_0","d_NumberOfFilesDeletedNet_t_0","d_NumberOfLinesDeletedByDeletedFiles_t_0","d_NumberOfLinesDeletedByDeletedFilesNet_t_0","d_NumberOfFilesModified_t_0","d_NumberOfFilesModifiedNet_t_0","d_NumberOfFilesRenamed_t_0","d_NumberOfFilesRenamedNet_t_0","d_NumberOfLinesAddedByModifiedFiles_t_0","d_NumberOfLinesAddedByModifiedFilesNet_t_0","d_NumberOfLinesDeletedByModifiedFiles_t_0","d_NumberOfLinesDeletedByModifiedFilesNet_t_0","d_NumberOfLinesAddedByRenamedFiles_t_0","d_NumberOfLinesAddedByRenamedFilesNet_t_0","d_NumberOfLinesDeletedByRenamedFiles_t_0","d_NumberOfLinesDeletedByRenamedFilesNet_t_0","d_Density_t_0","d_AffectedFilesRatioNet_t_0","d_isInitial_t_1","d_precByMerge_t_1","d_MinutesSincePreviousCommit_t_1","d_NumberOfFilesAdded_t_1","d_NumberOfFilesAddedNet_t_1","d_NumberOfLinesAddedByAddedFiles_t_1","d_NumberOfLinesAddedByAddedFilesNet_t_1","d_NumberOfFilesDeleted_t_1","d_NumberOfFilesDeletedNet_t_1","d_NumberOfLinesDeletedByDeletedFiles_t_1","d_NumberOfLinesDeletedByDeletedFilesNet_t_1","d_NumberOfFilesModified_t_1","d_NumberOfFilesModifiedNet_t_1","d_NumberOfFilesRenamed_t_1","d_NumberOfFilesRenamedNet_t_1","d_NumberOfLinesAddedByModifiedFiles_t_1","d_NumberOfLinesAddedByModifiedFilesNet_t_1","d_NumberOfLinesDeletedByModifiedFiles_t_1","d_NumberOfLinesDeletedByModifiedFilesNet_t_1","d_NumberOfLinesAddedByRenamedFiles_t_1","d_NumberOfLinesAddedByRenamedFilesNet_t_1","d_NumberOfLinesDeletedByRenamedFiles_t_1","d_NumberOfLinesDeletedByRenamedFilesNet_t_1","d_Density_t_1","d_AffectedFilesRatioNet_t_1","est_t1","est_t0","y_t1","y_t0"
"132",0,22.95,1,1,35,8,0,0,0,0,6,6,0,0,32,19,20,14,0,0,0,0,0.47126,1,0,0,4177.6833,0,0,0,0,0,0,0,0,2,2,0,0,149,25,30,5,0,0,0,0,0.1676,1,1,0.849716450773218,0.439415748052384,0.439415748052384,0.476234997821545,0.908373383693019,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.114831743109322,0.114831743109322,1,1,0.920741967389255,0.894179392243021,0.569017452889237,0.521256964545973,1,1,1,1,0.443448986605452,1,0.999955772564377,0.999955772564377,0.153547412609426,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.223462267114142,0.223462267114142,0.999958139640646,0.999958139640646,0.146297302255246,0.516262088373318,0.08882225957716,0.503522828838735,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.148928938400833,1,1,1,1,1
"152",0,939.45,2,2,80,54,0,0,0,0,2,2,0,0,14,13,66,55,0,0,0,0,0.7625,1,0,0,373.8,0,0,0,0,0,0,0,0,6,6,0,0,261,211,6,5,0,0,0,0,0.80899,1,1,0.0857433817923349,0.0950771076664543,0.0950771076664543,0.309262384445716,0.234557009036762,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.706478480645426,0.706478480645426,1,1,0.993485203740285,0.986076315379065,0.163699053218426,0.177631327800109,1,1,1,1,0.996277573738014,1,0.999955772564377,0.999955772564377,0.83588767167145,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.0979104695827888,0.0979104695827888,0.999958139640646,0.999958139640646,0.0818853650150508,0.0794414343465568,0.473810800308545,0.503522828838735,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.899611797018025,1,1,1,1,1
"161",0,0.0167,0,0,0,0,0,0,0,0,2,2,0,0,37,21,19,14,0,0,0,0,0.625,1,0,0,79.05,0,0,0,0,0,0,0,0,1,1,0,0,9,7,3,2,0,0,0,0,0.75,1,1,0.932824546576479,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.706478480645426,0.706478480645426,1,1,0.870465825600132,0.853356207844009,0.599064131539995,0.521256964545973,1,1,1,1,0.711574159012967,1,0.999955772564377,0.999955772564377,0.997630894618245,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.999463367441612,0.990820988173672,0.791395752222944,0.84055338899608,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.999409171346218,1,1,1,1,1
"175",0,17.75,0,0,0,0,0,0,0,0,1,1,0,0,35,32,1,1,0,0,0,0,0.91667,1,0,1,25.0667,0,0,0,0,0,0,0,0,1,1,0,0,45,33,23,11,0,0,0,0,0.64706,1,1,0.931113608275672,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.891167024365625,0.648676677056325,0.970625220005288,0.976719727616884,1,1,1,1,0.724311652942528,1,0.999955772564377,0.249994053362974,0.999376710287405,0.976761175991863,0.976761175991863,0.971441270704585,0.968962841973383,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.517702113343608,0.351612615037968,0.118881050292748,0.218669677358238,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.809480390892645,1,1,1,1,1
"179",0,0,0,0,0,0,0,0,0,0,1,1,0,0,68,64,12,10,0,0,0,0,0.925,1,0,0,0,4,4,284,235,0,0,0,0,1,1,0,0,6,6,6,6,0,0,0,0,0.83446,1,1,0.932567215568691,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.604209184540859,0.469483138230054,0.838021719503731,0.715925400967539,1,1,1,1,0.687422836036344,1,0.999955772564377,0.999955772564377,0.994647234099242,0.123470661764955,0.123470661764955,0.12604222633603,0.0906578275613718,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.995932236978052,0.997547598412582,0.473810800308545,0.469687450610581,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.804892535838454,1,1,1,1,1
"196",0,57.9833,3,3,25,17,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0.69231,1,0,0,0.2667,1,1,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73684,1,1,0.312952672909163,0.0866186929255007,0.0866186929255007,0.660502974699457,0.611630073376617,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.856377070160903,0.857694461639116,0.947851912837428,0.935272946598388,1,1,1,1,0.909089125835316,1,0.999955772564377,0.999955772564377,0.994893639856397,0.907281659575328,0.907281659575328,0.998534178232769,0.997956065357965,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.612601290175906,0.612601290175906,0.999958139640646,0.999958139640646,0.946119158212561,0.950094883022334,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.998397353036162,1,1,1,1,1
"209",0,49.2167,1,1,89,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67416,1,0,0,4283.3833,1,1,83,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56627,1,1,0.418456015299643,0.439415748052384,0.439415748052384,0.285916559077771,0.204229885146681,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.31791464450319,0.31791464450319,1,1,0.838886325540141,0.825832511832045,0.947851912837428,0.935272946598388,1,1,1,1,0.86498872510988,1,0.999955772564377,0.999955772564377,0.156227086337384,0.907281659575328,0.907281659575328,0.719744058560729,0.796879969514129,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.612601290175906,0.612601290175906,0.999958139640646,0.999958139640646,0.946119158212561,0.950094883022334,0.980950404760928,0.989622211244312,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.518271983855383,1,1,1,1,1
"214",0,0,4,4,284,235,0,0,0,0,1,1,0,0,6,6,6,6,0,0,0,0,0.83446,1,0,0,72.6667,3,3,146,119,0,0,0,0,1,1,0,0,71,60,9,7,0,0,0,0,0.82301,1,1,0.932567215568691,0.0845450022636648,0.0845450022636648,0.0776844070671778,0.0744399365914614,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.995851114700023,0.995851114700023,1,1,0.929960762505755,0.971582649360924,0.987742658671196,0.910885028984587,1,1,1,1,0.964923925356936,1,0.999955772564377,0.999955772564377,0.997837330037364,0.155912457534188,0.155912457534188,0.554874810601496,0.423318545365665,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.295496890412359,0.299865620930022,0.31036068158306,0.431915913908736,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.850841490111446,1,1,1,1,1
"228",0,100.7833,0,0,0,0,0,0,0,0,3,3,0,0,92,35,27,9,0,0,0,0,0.36975,1,0,0,32.3667,1,1,14,4,1,1,25,7,3,3,0,0,55,48,19,16,0,0,0,0,0.66372,1,1,0.123923256903179,0.999761498291678,0.999761498291678,0.995232093142495,0.99575834341103,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.514532327310919,0.514532327310919,1,1,0.438215060240448,0.612063519039864,0.408495477434856,0.765546269274788,1,1,1,1,0.403010151461257,1,0.999955772564377,0.999955772564377,0.999140628862504,0.907281659575328,0.907281659575328,0.999829760732394,0.987467425860548,0.111108495480668,0.111108495480668,0.273756916313498,0.271645856720373,0.102934843695088,0.102934843695088,0.999958139640646,0.999958139640646,0.419660738619558,0.286580628396511,0.119001145827902,0.0945151472036931,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.863914298364432,1,1,1,1,1
"229",0,0.3167,1,1,54,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75926,1,1,0,93064.2833,1,1,50,41,0,0,0,0,1,1,0,0,2,2,1,1,0,0,0,0,0.83019,1,1,0.937447259291243,0.439415748052384,0.439415748052384,0.322133980411184,0.25916735551633,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.31791464450319,0.31791464450319,1,1,0.838886325540141,0.825832511832045,0.947851912837428,0.935272946598388,1,1,1,1,0.994889077457361,1,0.249994053362974,0.999955772564377,0.077970221423459,0.907281659575328,0.907281659575328,0.890464881851794,0.844339673638356,0.999976455425483,0.999976455425483,0.999593687298367,0.999597869571532,0.999681893192394,0.999681893192394,0.999958139640646,0.999958139640646,0.968923925855384,0.982497478031686,0.992864567805572,0.971440840527568,0.999958139640646,0.999958139640646,0.999958139640646,0.999958139640646,0.8226268435857,1,1,1,1,1
