"","vars","t","model","acc","kappa"
"1",29,0,"bayesCaret",0.562149626940916,0.111466712066897
"2",33,1,"bayesCaret",0.552341463875097,0.149719225521238
"3",37,2,"bayesCaret",0.512989305094568,0.105421803297109
"4",47,3,"bayesCaret",0.534757834757835,0.148132883950188
