"","t","doEcdf","rfeVars","resample","model","vars","acc","kappa"
"70",1,FALSE,FALSE,6,"B1",49,0.304347826086957,0.0212765957446809
"71",2,FALSE,FALSE,6,"B1",49,0.243243243243243,-0.0539165818921669
"72",3,FALSE,FALSE,6,"B1",49,0.192307692307692,0.0162162162162162
"73",1,TRUE,TRUE,7,"B1",11,0.152173913043478,-0.149263292761051
"74",2,TRUE,TRUE,7,"B1",21,0.27027027027027,0.00299401197604795
"75",3,TRUE,TRUE,7,"B1",18,0.153846153846154,-0.141716566866267
"76",1,FALSE,TRUE,7,"B1",11,0.239130434782609,-0.00687929956222638
"77",2,FALSE,TRUE,7,"B1",21,0.162162162162162,-0.0739700374531835
"78",3,FALSE,TRUE,7,"B1",18,0.115384615384615,-0.081374321880651
"79",1,TRUE,FALSE,7,"B1",49,0.282608695652174,-0.0140280561122244
"80",2,TRUE,FALSE,7,"B1",49,0.324324324324324,0.0796019900497512
"81",3,TRUE,FALSE,7,"B1",49,0.0769230769230769,-0.100529100529101
"82",1,FALSE,FALSE,7,"B1",49,0.326086956521739,0.0728218465539662
"83",2,FALSE,FALSE,7,"B1",49,0.27027027027027,-0.0101112234580385
"84",3,FALSE,FALSE,7,"B1",49,0.307692307692308,0.128491620111732
"85",1,TRUE,TRUE,8,"B1",11,0.239130434782609,-0.0176991150442478
"86",2,TRUE,TRUE,8,"B1",21,0.405405405405405,0.174442190669371
"87",3,TRUE,TRUE,8,"B1",18,0.346153846153846,0.117764471057884
"88",1,FALSE,TRUE,8,"B1",11,0.173913043478261,-0.157615894039735
"89",2,FALSE,TRUE,8,"B1",21,0.351351351351351,0.11377245508982
"90",3,FALSE,TRUE,8,"B1",18,0.307692307692308,0.108571428571429
"91",1,TRUE,FALSE,8,"B1",49,0.239130434782609,0
"92",2,TRUE,FALSE,8,"B1",49,0.324324324324324,0.0551583248212462
"93",3,TRUE,FALSE,8,"B1",49,0.269230769230769,0.0608365019011406
"94",1,FALSE,FALSE,8,"B1",49,0.369565217391304,0.162586315128688
"95",2,FALSE,FALSE,8,"B1",49,0.189189189189189,-0.052132701421801
"96",3,FALSE,FALSE,8,"B1",49,0.307692307692308,0.0658682634730539
"97",1,TRUE,TRUE,9,"B1",11,0.0652173913043478,-0.217230769230769
"98",2,TRUE,TRUE,9,"B1",21,0.189189189189189,-0.0703953712632594
"99",3,TRUE,TRUE,9,"B1",18,0.307692307692308,0.110266159695817
"100",1,FALSE,TRUE,9,"B1",11,0.217391304347826,-0.0428211586901763
"101",2,FALSE,TRUE,9,"B1",21,0.243243243243243,-0.0206896551724138
"102",3,FALSE,TRUE,9,"B1",18,0.153846153846154,-0.0833333333333333
"103",1,TRUE,FALSE,9,"B1",49,0.239130434782609,-0.0300703774792066
"104",2,TRUE,FALSE,9,"B1",49,0.297297297297297,0.00824742268041232
"105",3,TRUE,FALSE,9,"B1",49,0.346153846153846,0.135029354207436
"106",1,FALSE,FALSE,9,"B1",49,0.239130434782609,-0.0287539936102236
"107",2,FALSE,FALSE,9,"B1",49,0.189189189189189,-0.0673076923076923
"108",3,FALSE,FALSE,9,"B1",49,0.192307692307692,0.0301953818827709
"109",1,TRUE,TRUE,10,"B1",11,0.195652173913043,-0.0945337620578778
"110",2,TRUE,TRUE,10,"B1",21,0.27027027027027,0.0366441658630665
"111",3,TRUE,TRUE,10,"B1",18,0.269230769230769,0.0389105058365759
"112",1,FALSE,TRUE,10,"B1",11,0.239130434782609,-0.0157728706624606
"113",2,FALSE,TRUE,10,"B1",21,0.243243243243243,-0.0146914789422135
"114",3,FALSE,TRUE,10,"B1",18,0.230769230769231,-0.01364522417154
"115",1,TRUE,FALSE,10,"B1",49,0.282608695652174,0.0380228136882129
"116",2,TRUE,FALSE,10,"B1",49,0.243243243243243,-0.0156862745098039
"117",3,TRUE,FALSE,10,"B1",49,0.307692307692308,0.0859375
"118",1,FALSE,FALSE,10,"B1",49,0.391304347826087,0.0727141828653709
"119",2,FALSE,FALSE,10,"B1",49,0.324324324324324,0.0796019900497512
"120",3,FALSE,FALSE,10,"B1",49,0.346153846153846,0.0961145194274028
"121",1,TRUE,TRUE,11,"B1",11,0.260869565217391,-0.0371352785145888
"122",2,TRUE,TRUE,11,"B1",21,0.243243243243243,-0.00193423597678917
"123",3,TRUE,TRUE,11,"B1",18,0.230769230769231,-0.0176125244618395
"124",1,FALSE,TRUE,11,"B1",11,0.260869565217391,0.011378002528445
"125",2,FALSE,TRUE,11,"B1",21,0.324324324324324,0.039460020768432
"126",3,FALSE,TRUE,11,"B1",18,0.192307692307692,-0.0419847328244275
"127",1,TRUE,FALSE,11,"B1",49,0.282608695652174,0.0577281191806331
"128",2,TRUE,FALSE,11,"B1",49,0.189189189189189,-0.115577889447236
"129",3,TRUE,FALSE,11,"B1",49,0.307692307692308,0.110266159695817
"130",1,FALSE,FALSE,11,"B1",49,0.260869565217391,0.00761421319796954
"131",2,FALSE,FALSE,11,"B1",49,0.216216216216216,-0.0773092369477912
"132",3,FALSE,FALSE,11,"B1",49,0.346153846153846,0.112449799196787
"133",1,TRUE,TRUE,12,"B1",11,0.326086956521739,0.0974683544303798
"134",2,TRUE,TRUE,12,"B1",21,0.135135135135135,-0.104477611940299
"135",3,TRUE,TRUE,12,"B1",18,0.346153846153846,0.0733752620545073
"136",1,FALSE,TRUE,12,"B1",11,0.260869565217391,0.0182046453232894
"137",2,FALSE,TRUE,12,"B1",21,0.243243243243243,-0.01171875
"138",3,FALSE,TRUE,12,"B1",18,0.307692307692308,0.0602409638554217
"139",1,TRUE,FALSE,12,"B1",49,0.304347826086957,0.0712933753943218
"140",2,TRUE,FALSE,12,"B1",49,0.243243243243243,-0.0298210735586481
"141",3,TRUE,FALSE,12,"B1",49,0.230769230769231,0.0114068441064639
"142",1,FALSE,FALSE,12,"B1",49,0.217391304347826,-0.00485436893203885
"143",2,FALSE,FALSE,12,"B1",49,0.216216216216216,-0.064484126984127
"144",3,FALSE,FALSE,12,"B1",49,0.153846153846154,-0.0853889943074004
"145",1,TRUE,TRUE,13,"B1",11,0.217391304347826,-0.0966887417218543
"146",2,TRUE,TRUE,13,"B1",21,0.189189189189189,-0.00271002710027101
"147",3,TRUE,TRUE,13,"B1",18,0.307692307692308,0.0677290836653386
"148",1,FALSE,TRUE,13,"B1",11,0.282608695652174,0.00197238658777114
"149",2,FALSE,TRUE,13,"B1",21,0.189189189189189,-0.0354477611940299
"150",3,FALSE,TRUE,13,"B1",18,0.230769230769231,-0.0317460317460318
"151",1,TRUE,FALSE,13,"B1",49,0.260869565217391,0.0572634116937915
"152",2,TRUE,FALSE,13,"B1",49,0.324324324324324,0.0993184031158715
"153",3,TRUE,FALSE,13,"B1",49,0.153846153846154,-0.137176938369781
"154",1,FALSE,FALSE,13,"B1",49,0.282608695652174,0.0470809792843691
"155",2,FALSE,FALSE,13,"B1",49,0.189189189189189,-0.133810010214505
"156",3,FALSE,FALSE,13,"B1",49,0.192307692307692,-0.0622568093385214
"157",1,TRUE,TRUE,14,"B1",11,0.239130434782609,-0.0254777070063694
"158",2,TRUE,TRUE,14,"B1",21,0.189189189189189,-0.0481586402266289
"159",3,TRUE,TRUE,14,"B1",18,0.230769230769231,0.00191938579654512
"160",1,FALSE,TRUE,14,"B1",11,0.282608695652174,0.0262989095574085
"161",2,FALSE,TRUE,14,"B1",21,0.189189189189189,-0.0412757973733583
"162",3,FALSE,TRUE,14,"B1",18,0.307692307692308,0.0695825049701789
"163",1,TRUE,FALSE,14,"B1",49,0.260869565217391,0.0285714285714285
"164",2,TRUE,FALSE,14,"B1",49,0.297297297297297,0.113364055299539
"165",3,TRUE,FALSE,14,"B1",49,0.192307692307692,-0.0380228136882129
"166",1,FALSE,FALSE,14,"B1",49,0.304347826086957,0.0270984798413748
"167",2,FALSE,FALSE,14,"B1",49,0.216216216216216,-0.0317307692307692
"168",3,FALSE,FALSE,14,"B1",49,0.269230769230769,0.0626185958254269
"169",1,TRUE,TRUE,15,"B1",11,0.260869565217391,-0.0129533678756477
"170",2,TRUE,TRUE,15,"B1",21,0.324324324324324,0.0703517587939698
"171",3,TRUE,TRUE,15,"B1",18,0.153846153846154,-0.0592592592592593
"172",1,FALSE,TRUE,15,"B1",11,0.282608695652174,0.0416666666666666
"173",2,FALSE,TRUE,15,"B1",21,0.297297297297297,0.0183673469387755
"174",3,FALSE,TRUE,15,"B1",18,0.230769230769231,-0.00775193798449613
"175",1,TRUE,FALSE,15,"B1",49,0.239130434782609,-0.0157728706624606
"176",2,TRUE,FALSE,15,"B1",49,0.243243243243243,0.00288739172281037
"177",3,TRUE,FALSE,15,"B1",49,0.230769230769231,-0.00970873786407765
"178",1,FALSE,FALSE,15,"B1",49,0.239130434782609,-0.00124378109452738
"179",2,FALSE,FALSE,15,"B1",49,0.189189189189189,-0.00543478260869567
"180",3,FALSE,FALSE,15,"B1",49,0.307692307692308,0.037037037037037
"181",1,TRUE,TRUE,1,"B2",11,0.282608695652174,0.0583126550868486
"182",2,TRUE,TRUE,1,"B2",21,0.378378378378378,0.148148148148148
"183",3,TRUE,TRUE,1,"B2",18,0.192307692307692,-0.0419847328244275
"184",1,FALSE,TRUE,1,"B2",11,0.304347826086957,0.0521571152607855
"185",2,FALSE,TRUE,1,"B2",21,0.216216216216216,-0.0666003976143141
"186",3,FALSE,TRUE,1,"B2",18,0.269230769230769,0.0834879406307977
"187",1,TRUE,FALSE,1,"B2",49,0.304347826086957,0.0453955901426719
"188",2,TRUE,FALSE,1,"B2",49,0.243243243243243,-0.00193423597678917
"189",3,TRUE,FALSE,1,"B2",49,0.269230769230769,0.037037037037037
"190",1,FALSE,FALSE,1,"B2",49,0.326086956521739,0.122461538461538
"191",2,FALSE,FALSE,1,"B2",49,0.189189189189189,-0.0703953712632594
"192",3,FALSE,FALSE,1,"B2",49,0.269230769230769,0.0608365019011406
"193",1,TRUE,TRUE,2,"B2",11,0.260869565217391,0.011378002528445
"194",2,TRUE,TRUE,2,"B2",21,0.27027027027027,0.0593220338983051
"195",3,TRUE,TRUE,2,"B2",18,0.192307692307692,-0.00738007380073801
"196",1,FALSE,TRUE,2,"B2",11,0.260869565217391,-0.0581867388362652
"197",2,FALSE,TRUE,2,"B2",21,0.27027027027027,0.0338491295938104
"198",3,FALSE,TRUE,2,"B2",18,0.0769230769230769,-0.245508982035928
"199",1,TRUE,FALSE,2,"B2",49,0.217391304347826,-0.064951768488746
"200",2,TRUE,FALSE,2,"B2",49,0.297297297297297,-0.0513661202185793
"201",3,TRUE,FALSE,2,"B2",49,0.307692307692308,0.0448979591836735
"202",1,FALSE,FALSE,2,"B2",49,0.239130434782609,-0.054354944335298
"203",2,FALSE,FALSE,2,"B2",49,0.324324324324324,0.110576923076923
"204",3,FALSE,FALSE,2,"B2",49,0.192307692307692,-0.06640625
"205",1,TRUE,TRUE,3,"B2",11,0.239130434782609,-0.0254777070063694
"206",2,TRUE,TRUE,3,"B2",21,0.216216216216216,-0.0509304603330069
"207",3,TRUE,TRUE,3,"B2",18,0.307692307692308,0.0732673267326733
"208",1,FALSE,TRUE,3,"B2",11,0.195652173913043,-0.0889315419065899
"209",2,FALSE,TRUE,3,"B2",21,0.189189189189189,-0.0202205882352941
"210",3,FALSE,TRUE,3,"B2",18,0.269230769230769,-0.0102249488752557
"211",1,TRUE,FALSE,3,"B2",49,0.260869565217391,-0.0398936170212766
"212",2,TRUE,FALSE,3,"B2",49,0.243243243243243,-0.0146914789422135
"213",3,TRUE,FALSE,3,"B2",49,0.115384615384615,-0.198396793587174
"214",1,FALSE,FALSE,3,"B2",49,0.304347826086957,0.0490956072351421
"215",2,FALSE,FALSE,3,"B2",49,0.216216216216216,-0.064484126984127
"216",3,FALSE,FALSE,3,"B2",49,0.307692307692308,0.15370705244123
"217",1,TRUE,TRUE,4,"B2",11,0.260869565217391,-0.0182291666666667
"218",2,TRUE,TRUE,4,"B2",21,0.27027027027027,-0.00909090909090908
"219",3,TRUE,TRUE,4,"B2",18,0.269230769230769,0.012
"220",1,FALSE,TRUE,4,"B2",11,0.260869565217391,0.00382165605095538
"221",2,FALSE,TRUE,4,"B2",21,0.351351351351351,0.110220440881764
"222",3,FALSE,TRUE,4,"B2",18,0.115384615384615,-0.13472485768501
"223",1,TRUE,FALSE,4,"B2",49,0.260869565217391,-0.0343915343915344
"224",2,TRUE,FALSE,4,"B2",49,0.216216216216216,-0.0287631831255993
"225",3,TRUE,FALSE,4,"B2",49,0.269230769230769,0.05
"226",1,FALSE,FALSE,4,"B2",49,0.326086956521739,0.0841361592806679
"227",2,FALSE,FALSE,4,"B2",49,0.27027027027027,0.0458452722063037
"228",3,FALSE,FALSE,4,"B2",49,0.153846153846154,-0.0916030534351145
"229",1,TRUE,TRUE,5,"B2",11,0.260869565217391,0.00887198986058303
"230",2,TRUE,TRUE,5,"B2",21,0.135135135135135,-0.173439048562934
"231",3,TRUE,TRUE,5,"B2",18,0.307692307692308,0.062124248496994
"232",1,FALSE,TRUE,5,"B2",11,0.239130434782609,-0.0241730279898219
"233",2,FALSE,TRUE,5,"B2",21,0.324324324324324,0.10541586073501
"234",3,FALSE,TRUE,5,"B2",18,0.269230769230769,-0.0164609053497943
"235",1,TRUE,FALSE,5,"B2",49,0.326086956521739,0.0864830237027546
"236",2,TRUE,FALSE,5,"B2",49,0.27027027027027,0.0300970873786408
"237",3,TRUE,FALSE,5,"B2",49,0.230769230769231,-0.04
"238",1,FALSE,FALSE,5,"B2",49,0.239130434782609,-0.013215859030837
"239",2,FALSE,FALSE,5,"B2",49,0.189189189189189,-0.0451977401129943
