"","resampleSeed","dens.fct","oversample","useKeywords","useDatatype","batchSize","neurons","learningRate","err.fct","act.fct","epochs","precision","patience","maxVars","ID"
"47",817867447,"epdf_scaled",FALSE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,47
"48",1229953753,"epdf_scaled",FALSE,FALSE,"density",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,48
"49",588824402,"ecdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,49
"50",817867447,"ecdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,50
"51",1229953753,"ecdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,51
"52",588824402,"1-ecdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,52
"53",817867447,"1-ecdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,53
"54",1229953753,"1-ecdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,54
"55",588824402,"epdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,55
"56",817867447,"epdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,56
"57",1229953753,"epdf",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,57
"58",588824402,"epdf_scaled",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,58
"59",817867447,"epdf_scaled",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,59
"60",1229953753,"epdf_scaled",TRUE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,60
"61",588824402,"ecdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,61
"62",817867447,"ecdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,62
"63",1229953753,"ecdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,63
"64",588824402,"1-ecdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,64
"65",817867447,"1-ecdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,65
"66",1229953753,"1-ecdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,66
"67",588824402,"epdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,67
"68",817867447,"epdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,68
"69",1229953753,"epdf",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,69
"70",588824402,"epdf_scaled",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,70
"71",817867447,"epdf_scaled",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,71
"72",1229953753,"epdf_scaled",FALSE,TRUE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,72
"73",588824402,"ecdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,73
"74",817867447,"ecdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,74
"75",1229953753,"ecdf",TRUE,FALSE,"both",20,5,0.05,"RSS","Lrelu",2500,0.005,5,60,75
